                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8058,                 2.2358,                 2.8614,                 3.8028,                0.57385,                 0.3904,                0.46037,                0.12306,                0.00592,                0.00981,                0.00299,                0.00046,                 2.1167,                 38.984,                 3.6522,                 6.1335,               0.070078,              0.0033246,              0.0033246
                      2,                 1.8436,                 1.2184,                 1.4486,                 2.5237,                0.98925,                0.90294,                0.93569,                 0.7875,                0.98925,                0.90294,                0.93569,                0.74278,                 1.0388,                 1.1532,                 2.5915,                 2.0607,               0.040012,               0.006592,               0.006592
                      3,                 1.0268,                 0.9805,                0.78106,                  1.565,                0.97572,                0.93239,                0.95935,                0.73271,                0.97686,                0.93348,                0.95999,                0.76311,                 1.0098,                 1.2475,                0.91054,                 1.9658,              0.0098805,              0.0097935,              0.0097935
                      4,                0.75322,                0.83185,                 0.5818,                 1.2719,                0.98827,                0.92475,                0.95397,                0.88602,                0.98827,                0.92475,                0.95397,                0.90757,                0.43823,                0.69018,                0.68739,                 1.2773,               0.009703,               0.009703,               0.009703
                      5,                0.62564,                0.74602,                0.48596,                 1.1509,                 0.9843,                0.95747,                0.97103,                 0.9321,                0.98206,                0.95529,                0.96983,                0.94286,                0.38067,                0.62613,                0.36494,                 1.1944,               0.009604,               0.009604,               0.009604
                      6,                0.56365,                0.70073,                0.43011,                 1.0984,                0.99002,                0.94875,                0.97638,                0.94336,                0.99002,                0.94875,                0.97593,                0.95306,                0.29621,                0.54727,                0.28837,                 1.1187,               0.009505,               0.009505,               0.009505
                      7,                0.52563,                   0.68,                0.40081,                 1.0674,                0.98742,                0.94984,                 0.9737,                0.94136,                0.98742,                0.94984,                 0.9737,                0.94132,                 0.3216,                0.66392,                0.34004,                 1.1365,               0.009406,               0.009406,               0.009406
                      8,                0.49192,                0.63524,                0.37049,                 1.0354,                0.99108,                 0.9422,                0.97442,                0.94473,                0.99108,                 0.9422,                0.97442,                0.94183,                0.34402,                0.60654,                0.32524,                 1.1716,               0.009307,               0.009307,               0.009307
                      9,                0.46596,                 0.6002,                0.34677,                 1.0159,                 0.9888,                0.93675,                 0.9693,                0.92897,                 0.9888,                0.93675,                 0.9693,                0.94046,                0.34224,                0.64666,                 0.3159,                 1.1475,               0.009208,               0.009208,               0.009208
                     10,                0.45082,                0.60811,                0.33687,                 1.0078,                0.96527,                0.92039,                 0.9646,                0.94692,                0.96527,                0.92039,                 0.9646,                 0.9419,                0.24875,                0.58683,                0.42379,                 1.0606,               0.009109,               0.009109,               0.009109
